1 26,0.61668,0.72499,53.66332,0.67714,53.53592,9.84684,204.38428,1423.55502,4778.0,1674.83137,759.51765,911430,75876
0 8,0.65905,0.96325,9.84684,204.38428,1423.55502,22.32275,87.57627,1075.25201,19495.75294,6041.27843,4418.52549,2257652,75869
0 36,1.00000,1.00000,22.32275,87.57627,1075.25201,30.62625,115.03868,1246.26761,51.47451,46.66666,109.61961,138923,27878
0 31,0.84115,0.98192,30.62625,115.03868,1246.26761,0.00000,65.89173,847.12726,457.58039,210.13334,278.35294,87237,13503
0 22,0.97523,0.98143,0.00000,65.89173,847.12726,40.55686,182.35967,1644.04630,1314.8,588.09804,380.33334,116229,5885
1 9,0.47397,0.39956,40.55686,182.35967,1644.04630,0.00000,83.36962,1066.85693,22551.16863,6848.29803,4409.59607,6,6
0 10,0.66350,0.88640,0.00000,83.36962,1066.85693,0.00000,91.17565,1102.84436,20861.27059,9464.88627,7772.91764,3602193,76690
0 39,1.00000,1.00000,0.00000,91.17565,1102.84436,24.87264,117.68861,1278.32895,11080.43529,4638.56471,2719.11765,1263497,58806
0 75,1.00000,1.00000,24.87264,117.68861,1278.32895,0.00000,101.93986,1171.25146,1490.09019,583.93334,419.98823,39052,8685
1 9,0.44578,0.51661,0.00000,101.93986,1171.25146,56.76485,108.65633,1199.74188,24881.99608,7785.63529,3832.50197,159849,5483
0 34,0.98213,0.91501,56.76485,108.65633,1199.74188,2.55046,110.17855,1176.06680,757.71372,1175.18823,2071.13726,339822,47526
0 73,0.99497,0.99699,2.55046,110.17855,1176.06680,4.34526,126.02856,1286.96201,216.92941,139.71764,184.52941,17741,9005
0 88,1.00000,1.00000,4.34526,126.02856,1286.96201,5.55768,91.93441,1130.84625,266.24706,222.57647,182.27451,66307,24132
0 82,0.98136,0.99176,5.55768,91.93441,1130.84625,14.23317,112.06849,1224.88351,40.05882,40.97255,12.33726,19683,10224
0 34,0.96315,0.82374,14.23317,112.06849,1224.88351,20.66641,120.93696,1290.30878,298.52157,195.55686,387.72941,14875,6637
0 27,1.00000,1.00000,20.66641,120.93696,1290.30878,22.89251,135.94710,1343.04385,336.42353,323.19215,413.16863,96799,30555
0 14,0.44596,0.86958,22.89251,135.94710,1343.04385,31.89388,113.78866,1228.10275,2469.19608,2607.85882,3265.68628,179147,9151
0 50,1.00000,1.00000,31.89388,113.78866,1228.10275,27.68994,118.35148,1252.12994,1313.72157,1602.57647,1800.70981,400859,53392
0 62,0.99859,0.99957,27.68994,118.35148,1252.12994,0.00000,103.48225,1161.75095,300.6,260.20392,253.14902,89727,27229
0 68,0.91197,0.98988,0.00000,103.48225,1161.75095,0.00000,107.83345,1198.40088,39.49412,38.99216,12.5451,39629,12334
0 62,0.97070,0.99875,0.00000,107.83345,1198.40088,0.00000,105.18404,1166.12781,355.37255,267.12549,393.81569,24216,9513
0 55,0.99671,0.94759,0.00000,105.18404,1166.12781,17.84863,103.16230,1156.16922,354.3451,346.99216,458.4353,110047,35298
0 46,1.00000,1.00000,17.84863,103.16230,1156.16922,4.96249,125.27961,1312.12689,27.83922,10.20784,40.99608,30956,12670
0 9,0.47520,0.81041,4.96249,125.27961,1312.12689,5.37717,49.50128,829.66217,2458.46667,2926.85098,2910.21961,49927,5413
0 23,0.99085,0.77585,5.37717,49.50128,829.66217,44.23690,32.89984,679.54700,1653.33333,1873.4,1816.89804,459879,57943
