0 55,0.58861,0.75583,0.00000,0.00000,0.11823,0.00000,0.00001,0.27606,92.8902,123.13333,141.49804,33758,1591
1 19,0.90280,0.92114,0.00000,0.00001,0.27606,4.57167,2397.88814,5482.47910,16779.78039,20984.79216,24162.00392,5036121,102300
0 6,0.98102,0.98047,4.57167,2397.88814,5482.47910,13.05229,2006.44169,5389.25339,1603.36863,8402.78823,14091.25098,2024718,42182
1 7,0.75544,0.78592,13.05229,2006.44169,5389.25339,0.00000,1876.70411,5215.97641,1247.07844,5894.76078,12700.97255,3062409,59681
1 15,0.80997,0.93541,0.00000,1876.70411,5215.97641,32.40772,2128.07250,5581.87170,1506.58432,8050.79216,17161.93333,1543723,42745
1 9,0.87516,0.78364,32.40772,2128.07250,5581.87170,12.32788,3042.86716,6957.91083,11980.71765,6392.26274,3332.72549,533315,21710
1 10,0.39349,0.38983,12.32788,3042.86716,6957.91083,4.33255,2420.69211,6019.93991,4839.16079,1517.18823,846.66275,1483078,29708
0 23,0.11464,0.43692,4.33255,2420.69211,6019.93991,27.59769,2455.40120,6044.26633,5478.6902,2201.64313,196.75687,838330,54579
0 33,0.41439,0.67528,27.59769,2455.40120,6044.26633,29.15782,2260.28478,5753.90961,1041.35686,885.44313,116.03137,761584,55285
0 25,0.73219,0.88751,29.15782,2260.28478,5753.90961,10.16039,1567.09186,4797.40811,1687.72941,2361.97647,1165.83921,1074369,57328
0 30,0.78746,0.99688,10.16039,1567.09186,4797.40811,6.15947,1216.17434,4042.21283,904.76079,1360.47451,927.1451,1082943,50746
1 24,1.00000,1.00000,6.15947,1216.17434,4042.21283,42.91738,1657.28240,4808.02588,4271.0353,2856.6,455.0549,807266,45183
0 45,0.46694,0.74147,42.91738,1657.28240,4808.02588,0.00000,1224.25005,4003.80829,1984.11373,1765.9451,1219.70981,948120,53328
0 41,0.67356,0.84177,0.00000,1224.25005,4003.80829,24.23569,1614.80046,4797.22134,317.82353,131.86275,92.83137,767407,51423
0 31,0.92588,0.63868,24.23569,1614.80046,4797.22134,14.54442,846.20581,3272.96808,313.93725,478.34117,708.04313,814854,48500
0 34,0.69158,0.55736,14.54442,846.20581,3272.96808,19.89030,1296.42179,4196.61520,2113.35686,1474.31372,341.81568,679532,41882
0 37,0.97467,0.94922,19.89030,1296.42179,4196.61520,14.16432,924.79102,3359.02927,977.07843,868.92549,691.22745,802386,48342
0 39,0.89268,0.99350,14.16432,924.79102,3359.02927,29.48273,1162.84791,3909.81635,1759.85883,686.18039,1541.1451,1230514,53922
0 41,0.92530,0.95061,29.48273,1162.84791,3909.81635,6.93788,900.82543,3467.04251,663.88627,35.61177,26.68235,935853,49316
0 38,0.99736,0.97182,6.93788,900.82543,3467.04251,49.96819,1078.03609,3831.37317,1738.54118,1171.6196,589.35687,1350130,56461
0 62,0.14079,0.15889,49.96819,1078.03609,3831.37317,0.00000,675.83279,3025.63959,696.82353,3199.54118,4101.12549,1656641,60875
0 50,0.97244,0.59432,0.00000,675.83279,3025.63959,48.70706,926.45584,3524.50034,1159.12549,2127.56471,5572.4,1221305,45645
