0 7,0.27311,0.98885,200.01628,138.60067,1279.61984,263.44484,865.05044,3289.53006,16579.53725,14136.15686,16275.17647,782964,27773
0 17,0.79804,0.99802,263.44484,865.05044,3289.53006,116.07435,121.32736,1212.58044,10600.26666,4908.72156,3191.07843,2417436,59840
0 12,0.77676,0.66323,116.07435,121.32736,1212.58044,208.37531,314.85454,2008.57986,14928.2353,6350.11372,3804.73726,1866168,51879
0 8,0.70551,0.81759,208.37531,314.85454,2008.57986,85.04550,384.28326,2239.42453,22628.75687,5237.79216,12870.2353,592508,20965
0 7,0.95721,0.91923,85.04550,384.28326,2239.42453,96.77685,350.27326,2218.17676,15116.96079,14712.07843,14728.97255,5043670,72809
0 7,0.70708,0.69878,96.77685,350.27326,2218.17676,243.36611,412.07069,2410.00772,22958.80392,24599.57647,23156.30588,510781,14841
1 8,0.72067,0.96857,243.36611,412.07069,2410.00772,87.66596,282.40654,1945.24866,9916.76862,1134.49411,891.27843,2798192,57710
0 49,0.99239,0.99561,87.66596,282.40654,1945.24866,173.99663,460.32238,2508.89374,771.59607,324.58823,100.9098,408493,38754
0 36,0.97927,0.97759,173.99663,460.32238,2508.89374,213.41975,377.57314,2246.20648,1001.96079,311.67059,156.52157,422018,31194
0 41,0.95896,0.98396,213.41975,377.57314,2246.20648,68.33170,38.28986,584.01065,925.63137,632.89804,299.71765,453049,46647
0 39,0.98570,0.92328,68.33170,38.28986,584.01065,44.82439,0.54293,76.11853,290.78432,594.16078,254.09804,416446,38911
0 6,0.99354,0.97950,44.82439,0.54293,76.11853,56.09926,1.59914,138.17886,1764.22353,8283.0,4172.16863,556503,49065
1 8,0.78339,0.68125,56.09926,1.59914,138.17886,0.00000,14.07983,265.89011,49421.73334,5385.52157,1468.62353,28076,3772
1 17,0.13790,0.29314,0.00000,14.07983,265.89011,0.00000,182.25021,1493.47488,58286.58432,58426.40785,55421.98824,14316262,102028
0 13,0.92735,0.94901,0.00000,182.25021,1493.47488,0.00000,582.54521,2079.74405,19902.82745,18428.87059,18996.00785,876623,34116
1 13,0.41358,0.56240,0.00000,582.54521,2079.74405,0.00000,364.91428,1513.99966,13199.1647,11613.49019,7041.62745,5292228,62196
1 7,0.61157,0.96528,0.00000,364.91428,1513.99966,0.00000,654.60005,2458.57199,14018.68628,4513.01569,9276.83921,3838163,65057
0 47,1.00000,1.00000,0.00000,654.60005,2458.57199,0.00000,31.45894,652.26062,67.01177,57.11373,147.01569,116017,38186
